,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Electrolyzer Skids,,,,,GLS Skid,,,,,,,,,,Utility,,,,,,,,,,,,,,
Room temperature,Time,"Current 
@1# stack




","Voltage 
@1# Stack




","DC Power Consumption @1# Stack
",H2 side outlet temp @1# stack,O2 side outlet temp @1# stack,Lye Supply to Electrolyzer Temp,Lye Concentration,Lye Flow to #1 Stack,H2 Separator Level,O2 Separator Level,"LDI
H2 & O2 Separator",O2 content in H2 ,H2 content in O2 ,"Pressure
@O2 Separator




 ",H2 Flowrate Purification outlet,DM water condctivity,Temperature @WTP production,DM water flow from B.L.,,,,,,,,,,,,
,,(A),(V),(KWh),(øC),(øC),(øC),%w/w,m3/hr,% Level (X),% Level (Y),% Level (+ve value),%v/v,%v/v,(barg),kg/h,microS/cm,(øC),m3/h,,,,,,,,,,,,
,Allowbale Parameter Range,4000 to 8000,500 to 640,(A) * (V) / 1000,80 to 90,85 to 95,70 to 75,30 to 32,80 to 100,20 to 50%,20 to 50%,(X-Y),< 1.5%,< 2%,15 to 16,(A) * (V) / 51,< 5,,1 to 1.5,,,,,,,,,,,,
,Relation with Current,NA,Increases,Increases,Increases,Increases,Decreases,,,Decreases,Decreases,,decreases,decreases,,,Independent,,increase,,,,,,,,,,,,
25.75,12:00 AM,0,0,0,25.75,25.75,25.75,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
24.75,12:01 AM,0,0,0,25.25,25.25,25.25,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
24.75,12:02 AM,0,0,0,24.75,24.75,24.75,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
24.75,12:03 AM,0,0,0,24.75,24.75,24.75,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
24.5,12:04 AM,0,0,0,24.5,24.5,24.5,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
24.75,12:05 AM,0,0,0,24.75,24.75,24.75,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
25,12:06 AM,0,0,0,25,25,25,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
24.25,12:07 AM,0,0,0,24.5,24.5,24.5,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
